ID,UserID,strDate,NameDevices,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,AngleX,AngleY,AngleZ,MagX,MagY,MagZ
7459,20227613,15:31:19.938,WTP2Right(DA:60:79:91:04:9A),-0.040,0.962,-0.152,4.150,2.075,2.136,110.995,-6.004,-28.152,-228,1791,-506
7460,20227613,15:32:07.909,WTP2Right(DA:60:79:91:04:9A),-0.034,0.972,-0.147,-0.305,2.197,1.282,98.811,1.000,-61.320,-259,-31234,-379
7461,20227613,15:32:07.916,WTP2Left(FD:AC:6A:AA:60:D2),0.073,0.989,-0.086,-0.305,-2.869,-0.061,94.537,-3.933,138.323,652,-32510,-639
7462,20227613,15:32:07.923,WTP2Right(DA:60:79:91:04:9A),-0.003,0.964,-0.147,-0.916,1.892,1.526,98.789,0.972,-61.309,-259,-31234,-379
7463,20227613,15:32:07.931,WTP2Left(FD:AC:6A:AA:60:D2),0.089,0.996,-0.083,0.366,-4.028,-0.427,94.543,-3.922,138.263,652,-32510,-639
7464,20227613,15:32:07.938,WTP2Right(DA:60:79:91:04:9A),-0.023,0.958,-0.175,-1.892,1.221,0.793,98.773,0.945,-61.271,-259,-31234,-379
7465,20227613,15:32:07.961,WTP2Left(FD:AC:6A:AA:60:D2),0.079,0.998,-0.097,0.610,-1.770,-2.014,94.565,-3.900,138.208,648,32514,-641
7466,20227613,15:32:07.970,WTP2Right(DA:60:79:91:04:9A),-0.014,1.006,-0.130,-0.122,3.296,1.282,98.756,0.917,-61.238,-259,-31234,-379
7467,20227613,15:32:07.977,WTP2Left(FD:AC:6A:AA:60:D2),0.032,0.979,-0.083,0.671,2.319,-3.174,94.587,-3.862,138.219,648,32514,-641
7468,20227613,15:32:07.984,WTP2Right(DA:60:79:91:04:9A),-0.034,0.970,-0.144,1.038,3.662,2.258,98.773,0.857,-61.188,-260,-31490,-380
7469,20227613,15:32:07.991,WTP2Left(FD:AC:6A:AA:60:D2),0.048,0.981,-0.077,-0.305,-1.404,-3.540,94.587,-3.790,138.241,648,32514,-641
7470,20227613,15:32:07.998,WTP2Right(DA:60:79:91:04:9A),-0.009,0.984,-0.149,1.648,2.380,3.418,98.806,0.797,-61.166,-260,-31490,-380
7471,20227613,15:32:08.029,WTP2Right(DA:60:79:91:04:9A),0.018,0.959,-0.155,1.648,2.869,3.784,98.844,0.709,-61.128,-260,-31490,-380
7472,20227613,15:32:08.036,WTP2Left(FD:AC:6A:AA:60:D2),0.066,0.999,-0.093,-0.916,-8.545,-0.916,94.587,-3.719,138.164,648,32514,-641
7473,20227613,15:32:08.038,WTP2Left(FD:AC:6A:AA:60:D2),0.083,1.008,-0.113,-0.793,-6.897,-1.282,94.592,-3.680,138.016,648,32514,-641
7474,20227613,15:32:08.045,WTP2Right(DA:60:79:91:04:9A),-0.005,0.965,-0.179,-0.061,0.427,2.502,98.860,0.637,-61.100,-260,-31490,-380
7475,20227613,15:32:08.051,WTP2Left(FD:AC:6A:AA:60:D2),0.065,1.000,-0.113,-1.526,-1.465,-2.502,94.598,-3.642,137.933,648,32514,-641
7476,20227613,15:32:08.058,WTP2Right(DA:60:79:91:04:9A),0.003,0.999,-0.144,0.244,-1.038,1.099,98.855,0.615,-61.144,-260,-31490,-380
7477,20227613,15:32:08.083,WTP2Left(FD:AC:6A:AA:60:D2),0.044,0.989,-0.082,-2.014,-0.061,-3.235,94.576,-3.593,137.928,648,32514,-641
7478,20227613,15:32:08.089,WTP2Right(DA:60:79:91:04:9A),-0.010,0.970,-0.153,0.977,-0.305,-0.427,98.877,0.615,-61.155,-260,-31490,-380
7479,20227613,15:32:08.096,WTP2Left(FD:AC:6A:AA:60:D2),0.044,0.972,-0.071,-4.395,-3.723,-3.967,94.510,-3.510,137.911,648,32514,-641
7480,20227613,15:32:08.104,WTP2Right(DA:60:79:91:04:9A),0.019,0.977,-0.164,-0.366,6.165,-1.892,98.877,0.637,-61.029,-260,-31490,-380
7481,20227613,15:32:08.119,WTP2Right(DA:60:79:91:04:9A),0.019,0.957,-0.155,-0.366,9.277,-2.991,98.877,0.643,-60.831,-260,-31490,-380
7482,20227613,15:32:08.127,WTP2Left(FD:AC:6A:AA:60:D2),0.051,0.996,-0.073,-4.944,-5.066,-1.587,94.422,-3.428,137.856,648,32514,-641
7483,20227613,15:32:08.130,WTP2Left(FD:AC:6A:AA:60:D2),0.034,0.993,-0.074,-5.066,-2.625,0.183,94.329,-3.389,137.791,648,32514,-641
7484,20227613,15:32:08.149,WTP2Right(DA:60:79:91:04:9A),-0.025,0.964,-0.144,0.427,12.634,-6.165,98.882,0.709,-60.573,-260,-31490,-380
7485,20227613,15:32:08.156,WTP2Left(FD:AC:6A:AA:60:D2),0.059,0.977,-0.113,-6.897,-2.441,1.892,94.224,-3.389,137.752,653,32258,-642
7486,20227613,15:32:08.163,WTP2Right(DA:60:79:91:04:9A),-0.073,0.975,-0.134,-1.099,16.113,-8.545,98.855,0.835,-60.266,-260,-31490,-380
7487,20227613,15:32:08.171,WTP2Left(FD:AC:6A:AA:60:D2),0.065,1.009,-0.089,-7.629,-5.188,4.761,94.114,-3.422,137.697,653,32258,-642
7488,20227613,15:32:08.178,WTP2Right(DA:60:79:91:04:9A),-0.032,0.977,-0.115,-3.784,10.193,-9.644,98.762,1.033,-60.101,-260,-31490,-380
7489,20227613,15:32:08.185,WTP2Left(FD:AC:6A:AA:60:D2),0.072,0.988,-0.087,-6.653,-6.348,5.005,93.983,-3.510,137.598,653,32258,-642
7490,20227613,15:32:08.209,WTP2Right(DA:60:79:91:04:9A),-0.019,0.959,-0.176,-5.615,7.385,-10.193,98.674,1.219,-59.936,-260,-31490,-380
7491,20227613,15:32:08.216,WTP2Left(FD:AC:6A:AA:60:D2),0.083,0.996,-0.052,-6.409,-3.235,3.540,93.867,-3.598,137.494,653,32258,-642
7492,20227613,15:32:08.223,WTP2Right(DA:60:79:91:04:9A),-0.029,0.992,-0.169,-6.226,6.165,-10.681,98.564,1.412,-59.799,-260,-31490,-380
7493,20227613,15:32:08.231,WTP2Left(FD:AC:6A:AA:60:D2),0.078,1.004,-0.032,-10.010,-3.601,1.343,93.713,-3.664,137.450,653,32258,-642
7494,20227613,15:32:08.238,WTP2Right(DA:60:79:91:04:9A),0.021,0.991,-0.146,-4.639,6.531,-10.071,98.470,1.593,-59.678,-260,-31490,-380
7495,20227613,15:32:08.246,WTP2Left(FD:AC:6A:AA:60:D2),0.030,1.003,-0.046,-14.099,1.648,2.014,93.477,-3.702,137.422,653,32258,-642
7496,20227613,15:32:08.269,WTP2Right(DA:60:79:91:04:9A),0.020,0.957,-0.140,-2.441,12.573,-12.085,98.432,1.758,-59.409,-260,-31490,-380
7497,20227613,15:32:08.276,WTP2Left(FD:AC:6A:AA:60:D2),0.049,1.014,-0.103,-17.578,4.700,5.371,93.175,-3.763,137.494,653,32258,-642
7498,20227613,15:32:08.283,WTP2Right(DA:60:79:91:04:9A),-0.034,0.964,-0.135,0.916,24.658,-15.869,98.459,1.961,-58.898,-260,-31490,-380
7499,20227613,15:32:08.290,WTP2Left(FD:AC:6A:AA:60:D2),0.073,1.043,-0.090,-20.874,4.333,9.766,92.834,-3.873,137.593,653,32258,-642
7500,20227613,15:32:08.299,WTP2Right(DA:60:79:91:04:9A),-0.061,0.979,-0.100,2.808,27.771,-17.090,98.503,2.219,-58.387,-260,-31490,-380
7501,20227613,15:32:08.306,WTP2Left(FD:AC:6A:AA:60:D2),0.047,1.047,-0.054,-27.649,1.526,12.878,92.401,-4.076,137.675,653,32258,-642
7502,20227613,15:32:08.337,WTP2Left(FD:AC:6A:AA:60:D2),0.058,1.054,-0.052,-36.194,-2.563,19.775,91.813,-4.356,137.692,653,32258,-642
7503,20227613,15:32:08.344,WTP2Right(DA:60:79:91:04:9A),-0.082,0.974,-0.116,3.967,26.855,-16.602,98.591,2.483,-57.892,-260,-31490,-380
7504,20227613,15:32:08.346,WTP2Right(DA:60:79:91:04:9A),-0.092,0.957,-0.137,3.906,28.076,-15.564,98.690,2.736,-57.376,-260,-31490,-380
7505,20227613,15:32:08.351,WTP2Left(FD:AC:6A:AA:60:D2),0.013,1.127,-0.019,-49.133,-3.662,30.518,91.044,-4.785,137.653,654,32514,-641
7506,20227613,15:32:08.358,WTP2Right(DA:60:79:91:04:9A),-0.119,0.935,-0.114,3.723,28.259,-15.503,98.778,2.988,-56.882,-260,-31490,-380
7507,20227613,15:32:08.367,WTP2Left(FD:AC:6A:AA:60:D2),-0.073,1.192,-0.073,-63.599,2.991,46.753,90.005,-5.438,137.637,654,32514,-641
7508,20227613,15:32:08.389,WTP2Right(DA:60:79:91:04:9A),-0.062,0.943,-0.127,4.272,25.269,-14.282,98.882,3.241,-56.459,-260,-31490,-380
